Leonardo,nome, italiano, Ingegnere,Scienziato,Genio,Inventore,Disegnatore,Da Vinci,Di Caprio,Rignanese,
Serie,Dosso,Incrocio,Offerte,Televisiva,Numerica,Rotonde,Eventi,Continua,
Piangere,Sorridere,Lacrima,Occhi,Disperato,Relazione,Triste,Ridere,Singhiozzare,
Minuto,Istante,Attimo,Misura,Orologio,Mezzora,Tempo,Secondo,Ora,
Personaggio,Eroe,Cinema,Teatro,Antagonista,Film,Protagonista,Spalla,Comparsa,
Tacere,Impedire,Ascoltare,Suono,Strepitare,Silenzio,Parlare,Zittire,Parola,
Chiesa,Religione,Basilica,Consacrato,Cattedrale,Vescovo,Prete,Cappella,Parrocchia,
Imparare,Studente,Insegnare,Scolaro,Apprendere,Professore,Scuola,Università,Esperienza,
Poesia,Metrica,Canto,Rima,Recitazione,Lirica,Forma,Scrittura,Acclamazione,
Famiglia,Padre,Figlio,Marito,Moglie,Parente,Madre,Partner,Amico,
Viaggio,Treno,Vacanza,Auto,Trasporto,Lavoro,Aereo,Percorso,Tragitto,
Triste,Contento,Infelice,Sconsolante,Tragico,Malinconico,Depresso,Sconfortante,Felice,
Colore,Nero,Rosso,Bianco,Blu,Giallo,Verde,Viola,Marrone,
Speciale,Straordinario,Eccezionale,Particolare,Mediocre,Misura,Unico,Comune,Peculiare,
Autista,Furgone,Guidatore,Auto,Mezzo,Camionista,Conducente,Tassista,Moto,
Famoso,Famigerato,Attore,Influencer,Leggendario,Celebre,Rinomato,Noto,Conosciuto,
Fuoco,Stufa,Gas,Carbone,Acqua,Scintilla,Legno,Fiamma,Camino,
Accompagnare,Camminare,Cane,Supportare,Portare,Affiancare,Amico,Passaggio,Persona,
Sembrare,Goccia,Inganno,Stesso,Risultare,Simile,Trucco,Travestimento,Apparire,
Base,Conoscenza,Fondamenta,Casa,Fondamentale,Minimo,Basamento,Sotto,Acido,
Leopardo,Africa,Tarzak,Felino,Macchia,Leone,Maculato,Tigre,Asia,
Figlio,Genitore,Fratello,Primogenito,Nonno,Papà,Prole,Padre,Nipote,
Armadillo,Rotola,Alligatore,Marrone,Animatore,Palla,Fumetto,Dinosauro,Zerocalcare,
Proprio,Vero,Questo,Posseduto,Nostro,Proprietà,Mio,Suo,Loro,
Formazione,Universitaria,Insegnamento,Professionale,Esperienza,Scolastica,Lezione,Corso,Esame,
Fumare,Pipa,Fuoco,Caldo,Droga,Spinello,Sigaro,Freddo,Sigaretta,
Colomba,Falco,Acquila,Pasquale,Mosè,Diluvio,Dolce,Pace,Focaccina,
Ricchezza,Opulenza,Banca,Sovrabbondanza,Preziosità,Prosperità,Abbondanza,Denaro,Soldi,
Organizzare,Gestire,Improvvisare,Piano,Allestire,Pianificare,Coordinare,Programmare,Pensare,
Elemento,Fattore,Componente,Caratterizzante,Essenziale,Fondante,Chimica,Tavola,Fondamentale,
Potenza,Grandezza,Debole,Intensità,Massima,Forte,Velocità,Capacità,Watt,
Fonetica,Accenti,Glottologica,Pronuncia,Fonologica,Lettere,Fonologia,Grafematica,Linguistica,
Aquila,Uccello,Abruzzo,Ali,Volare,Terremoto,Falco,Becco,Città,
Notare,Ignorare,Riscontrare,Intuire,Ricordare,Vedere,Constatare,Osservare,Sottolineare,
Pomeriggio,Ore,Tre,Cena,Sera,Due,Mezzogiorno,Siesta,Pranzo,
Mamma,Maternità,Bimba,Figlia,Madre,Procreare,Papà,Nonna,Nipote,
Tardi,Avvisare,Orologio,Dopo,Orario,Rispetto,Appuntamento,Presto,Quando,
Secolarismo,Confessionalismo,Tradizionalismo,Integralismo,Secolarizzazione,Fondamentalismo,Clericalismo,Laicismo,Liberalismo,
Sonno,Occhi,Notte,Addormentamento,Palpebre,Stanco,Sera,Medicinale,Sonnifero,
Spazzino,Rifiuti,Carta,Strada,Netturbino,Cestino,Foglie,Spalatore,Spazzolone,
Situazione,Drammatica,Analisi,Disastrosa,Inaspettata,Condizione,Attuale,Problematica,Piacevole,
Freddo,Inverno,Gelo,Coperta,Piumino,Giacca,Neve,Caldo,Pesante,
Pezzo,Parte,Discreto,Frammento,Tempo,Segmento,Misura,Tanto,Brano,
Ripetere,Bis,Ripetuto,Gesto,Uguale,Secondo,Parole,Ancora,Incomprensione,
Unire,Amalgamare,Sciogliere,Mischiare,Sommare,Avvicinare,Dividere,Congiungere,Fondere,
Paura,Buio,Disagio,Timore,Fobia,Coraggio,Angoscia,Orrore,Terrore,
Nascere,Svilupparsi,Scaturire,Sorgere,Emergere,Padre,Crescere,Madre,Morire,
Perciò,Difatti,Poichè,Quindi,Dunque,Comunque,Pertanto,Infatti,Tuttavia,
Atteggiamento,Approccio,Comportamento,Contegno,Propositivo,Ponersi,Scontroso,Favorevole,Persona,
Porto,Nave,Molo,Banchina,Mare,Spiaggia,Oceano,Approdo,Barca,
Compiere,Svolgere,Iniziare,Effettuare,Lavoro,Eseguire,Richiesta,Compito,Termine,
Trapezio,Triangolo,Isoscele,Lati,Angoli,Romboide,Quattro,Scaleno,Forma,
Salutare,Riconoscere,Incontrare,Lasciare,Ringraziare,Nome,Mano,Chiamare,Stretta,
Straniero,Sconosciuto,Extracomunitario,Migrante,Diffidenza,Diverso,Immigrato,Pregiudizio,Italiano,
Molto,Particolarmente,Aggiungere,Troppo,Assai,Abbastanza,Poco,Estremamente,
Pazzo,Fanatico,Folle,Psicopatico,Matto,Sano,Stupido,Imbecille,Scemo,
Arte,Dipinto,Moderna,Contemporanea,Pittura,Museo,Parte,Scrittura,Opera,
Mollusco,Cefalopode,Cannolicchio,Mammifero,Calamaro,Crostaceo,Gastropode,Gasteropode,Acqua,
Tre,Due,Bronzo,Uno,Quattro,Dispari,Numero,Trinità,Moschettieri,
Notte,Domani,Buio,Luna,Mattina,Oggi,Finestra,Sole,Sera,
Intanto,Allora,Adesso,Frattempo,Però,Quindi,Ora,Poi,Siccome,
Scomparire,Nascosto,Riapparire,Svanire,Ignoto,Dissolversi,Ridursi,Mancare,Posizione,
Fratello,Figlio,Cugino,Nipote,Amico,Cognato,Sorella,Padre,Zio,
Ordinare,Posto,Acquistare,Casa,Pulire,Ufficio,Scrivania,Spostare,Disporre,
Terreno,Campo,Agricolo,Appezzamento,Fertile,Spianato,Libero,Edificabile,Suolo,
Udire,Ascoltare,Rumore,Orecchie,Attenzione,Suono,Sordo,Ignorare,Sentire,
Elettrico,Pressa,Luce,Watt,Volt,Computer,Chitarra,Rasoio,Macchina,
Fresco,Primavera,Acqua,Autunno,Asciutto,Profumato,Piacevole,Aria,Caldo,
Successo,Ricchezza,Clamoroso,Soldi,Vita,Sociale,Famoso,Riscosso,Status,
Ricco,Soldi,Banca,Jeff bezos,Milionario,Oro,Bill gates,Miliardiario,Elon musk,
Durante,Atto,Tempo,Periodo,Prima,Durata,Svolgimento,Lungo,Dopo,
Riprendere,Continuare,Ritornare,Posizione,Posto,Secoda,Possesso,Diritto,Tornare,
Stamattina,Sera,Pomeriggio,Oggi,Ieri,Stanotte,Giorno,Pranzo,Colazione,
Società,Spa,Srl,Civiltà,Responsabilità,Azioni,Amministrazione,Consiglio,Affari,
Idea,Concetto,Lampadina,Intenzione,Mente,Intuizione,Impressione,Cervello,Pensiero,
Ragazza,Moglie,Studentessa,Donna,Fanciulla,Ragazzo,Bambina,Amica,Fidanzata,
Caldo,Equatore,Freddo,Afoso,Estate,Condizionata,Torrido,Tropico,Mare,
Sapere,Conoscere,Vedere,Imparare,Capire,Leggere,Ignorare,Dire,Scoprire,
Diritto,Legge,Giudice,Sacrosanto,Civilità,Avvocato,Tribunale,Avanti,Dovere,
Dormire,Notte,Addormentarsi,Stelle,Riposare,Letto,Sacco,Sogno,Incubo,
Computer,Fisso,Tastiera,Mac,Monitor,Notebook,Schermo,Portatile,Mouse,
Parete,Casa,Mensola,Costruzione,Muro,Camminare,Riscaldamento,Soffitto,Pavimento,
Limone,Agrume,Sicilia,Limoncello,Buccia,Aspro,Giallo,Pompelmo,Arancia,
Quadro,Contesto,Disegno,Scenario,Riassuntivo,Ritratto,Schema,Situazione,Dipinto,
Sbagliare,Errore,Correzione,Voto,Distazione,Interrogazione,Giusto,Verifica,Capire,
Salvare,Favore,Recuperare,Situazione,Relazione,Posto,Aiutare,Videogioco,Amicizia,
Animale,Cane,Zampe,Abbaiare,Coda,Vegetale,Pesce,Felino,Cucciolo,
Anguria,Cocomero,Fetta,Dolce,Succo,Semi,Rosso,Estate,Verde,
Mese,Fine,Stagione,Scorso,Inizio,Prossimo,Giorno,Anno,Settimana,
Pena,Giudice,Multa,Incarcerazione,Corte,Tribunale,Domiciliare,Sanzione,Capitale,
Camera,Sala,Ostello,Dormire,Matrimoniale,Notte,Stanza,Hotel,Letto,
Pace,Criminalità,Scontro,Pacificazione,Legale,Ordine,Violenza,Rispetto,Guerra,
Leone,Chioma,Fiero,Africa,Predatore,Re,Savana,Coraggio,Felino,
Risultato,Studio,Sport,Scuola,Lavoro,Obbiettivo,Esito,Fatica,Ottenuto,
Uomo,Donna,Maschio,Ragazzo,Genere,Lui,Padre,Adamo,Sesso,
Necessità,Collettiva,Impellente,Bisogno,Soddisfazione,Personale,Individuale,Esigenza,Virtù,
Realtà,Terra,Sensato,Studio,Osservazione,Verità,Fisica,Finzione,Chimica,
Parrucchiere,Estetista,Piega,Acconciatore,Coiffeur,Tinta,Capelli,Barbiere,Testa,
Ricordo,Doloroso,Dolce,Famiglia,Anziano,Passato,Rammento,Gioventù,Felice,
Yak,Mucca,Corna,Selvatica,Pelo,Lungo,Toro,Latte,Montagna,
Sacerdote,Presbitero,Confessore,Vescovo,Prete,Religione,Diacono,Parroco,Seminarista,
Regno,Regnare,Reame,Sovrano,Minerale,Monarca,Impero,Animale,Vegetale,
Inverno,Natale,Primavera,Capodanno,Grandine,Neve,Autunno,Freddo,Estate,
Estate,Stagione,Sole,Autunno,Mare,Estiva,Inverno,Primavera,Caldo,
Bagno,Asciugamano,Bidet,Accappatoio,Lavandino,Specchio,Water,Doccia,Lavabo,
Sguardo,Sensuale,Incrociare,Osservare,Intenso,Occhio,Assente,Vedere,Vuoto,
Film,Registrazione,Mentale,Cinema,Horror,Televisione,Lungometraggio,Documentario,Blockbuster,
Triangolo,Isoscele,Tre,Angoli,Equilatero,Lati,Rettangolo,Amoroso,Scaleno,
Matrimonio,Sposando,Moglie,Divorzio,Cerimonia,Marito,Fidanzamento,Nozze,Anello,
Bocca,Bere,Volto,Labbra,Lingua,Gola,Denti,Cibo,Mangiare,
Funghi,Champignon,Chiodini,Cardoncelli,Prataioli,Ameba,Tartufi,Porcini,Bosco,
Fabbrica,Ditta,Manifattura,Industria,Azienda,Operaio,Stabilimento,Fonderia,Macchinario,
Giardino,Frutteto,Cortile,Terrazzo,Patio,Erba,Casa,Orto,Prato,
Notizia,Telegiornale,Indiscrezione,Reporter,Giornale,Corrente,Informazione,Giornaliero,News,
Grave,Allarmante,Inaccettabile,Preoccupante,Leggero,Ridicolo,Lieve,Terribile,Incidente,
Polizia,Fascismo,Acab,Legge,Stato,Questura,Gendarmeria,Ufficiale,Pattuglia,
Caffè,Cappuccino,Chicco,Latte,Americano,Thè,Tostatura,Macchiato,Espresso,
Strumento,Potente,Calibrare,Misura,Metodo,Morte,Utile,Fine,Scopo,
Servire,Preparare,Aiuto,Utensile,Tavolo,Attrezzo,Mano,Assistente,Padrone,
Teatro,Palcoscenico,Cultura,Canto,Opera,Attore,Compagnia,Biglietto,Spettacolo,
Biondo,Tinta,Parrucca,Riccioli,Colore,Capelli,Castano,Giallo,
Bambino,Bimbo,Neonato,Genitore,Adulto,Figlio,Ragazzino,Fratello,
Prezzo,Sconto,Saldi,Costo,Furto,Basso,Guadagno,Alto,
Passato,Presente,Vissuto,Storia,Vecchio,Futuro,Vita,Trascorso,
Prugna,Stomaco,Viola,Albero,Seme,Frutta,Susina,Nocciolo,
Interno,Scoperto,Esclusivo,Difeso,Esterno,Protetto,Dentro,Centro,
Parere,Consiglio,Modesto,Giudizio,Opinione,Idea,Avviso,Sindacabile,
Sorridere,Denti,Pensare,Bocca,Ridere,Riflettere,Piangere,Labbra,
Avanti,Davanti,Indietro,Movimento,Passo,Avanzare,Viaggio,Direzione,
Desiderio,Valore,Inappagato,Anelito,Sentimento,Timore,Realizzazione,Sogno,
Domanda,Incomprensione,Richiesta,Risposta,Interrogazione,Curiosità,Spiegazione,Desiderio,
Frutto,Albero,Mandarino,Banana,Pera,Mela,Pomodoro,Arancia,
Ambiente,Salvaguardia,Ecosistema,Area,Intorno,Alberi,Inquinamento,Ostile,
Uno,Singolo,Numero,Mazzo,Carte,Due,Zero,Gioco,
Preciso,Dettagliato,Mira,Accurato,Obbiettivo,Centro,Mirato,Chiaro,
Memoria,Intelligenza,Ripetizione,Insegnamento,Tecnica,Verifica,Esame,Studio,
Centro,Quartiere,Storico,Cerchio,Paese,Fulcro,Baricentro,Nevralgico,
Storia,Millenaria,Narrazione,Epopea,Vicenda,Genesi,Racconto,Romanzo,
Università,Laurea,Classe,Studio,Professore,Studente,Ateneo,Corso,
Potere,Volontà,Posizione,Religioso,Avere,Sociale,Temporale,Rispetto,
Bisognare,Necessario,Carità,Conveniente,Utile,Opportuno,Richiesta,Inutile,
Foglio,Gelatina,Carta,Scrittura,Lamiera,Quaderno,Disegno,Cartoncino,
Azione,Decisione,Movimento,Fulminea,Intensa,Strategia,Attività,Incursione,
Accendere,Telecomando,Televizione,Spengere,Avviare,Spegnere,Computer,Pulsante,
Distanza,Percorso,Disegno,Misura,Viaggio,Lontano,Metro,Vicino,
Leggere,Lettera,Annuncio,Spartito,Analizzare,Situazione,Libro,Scrivere,
Mattina,Colazione,Sera,Sorgere,Inizio,Alba,Pomeriggio,Giorno,
Offrire,Servizio,Proporre,Proposta,Garantire,Cibo,Caffè,Bevuta,
Tentare,Tentazione,Indovinare,Tentativo,Cercare,Possibilità,Desiderio,Provare,
Estero,Australia,Confine,Europa,America,Paese,Italia,Asia,
Fuori,Esterno,Interno,Freddo,Dentro,Uscire,Casa,Mondo,
Limitare,Impedire,Diminuire,Esagerare,Evitare,Attenuare,Minimizzare,Ridurre,
Crescere,Nascere,Bambino,Svilupparsi,Maturare,Giovane,Prosperare,Vecchio,
Macellaio,Carne,Salumiere,Coltello,Bistecca,Mestiere,Animali,Pescivendolo,
Accordo,Intesa,Patto,Banca,Contratto,Stretta di mano,Stipulato,Affare,
Capocuoco,Cucinare,Ristorante,Cucina,Ordini,Cuoco,Cameriere,Chef,
Mano,Dita,Braccio,Unghie,Destro,Polso,Mancino,Sinistro,
Rivolgere,Attenzione,Risposta,Sguardo,Domanda,Parola,Chiedere,Interesse,
Presentare,Proporre,Illustrare,Amico,Mano,Nome,Consigliare,Persona,
Sorgere,Nascere,Impero,Est,Luna,Sole,Ovest,Tramontare,
Presenza,Appello,Massiccia,Evento,Classe,Luogo,Comparsa,Assenza,
Intelligenza,Innata,Razionalità,Arguzia,Stupidità,Intelletto,Furbizia,Astuzia,
Villa,Casa,Schiera,Maestosa,Piani,Giardino,Benestante,Abitazione,
Usare,Utilizzare,Servirsi,Adoperare,Persone,Utensile,Programma,Attrezzo,
Campagna,Agricultura,Allevamento,Paese,Natura,Pubblicitaria,Campi,Pianura,
Rimettere,Scrivania,Ufficio,Macchina,Pulire,Ordinare,Spostare,Casa,
Proposta,Formulare,Matrimonio,Richiedere,Lavoro,Prospettare,Promozione,Presentare,
Gufo,Strega,Rapace,Pipistrello,Uccello,Corvo,Notte,Mago,
